time,open,high,low,close,Fundezy Fast SMA (5),Fundezy Slow SMA (200),Fundezy SuperTrend,Fundezy Fast MA,Fundezy Medium MA,Fundezy Slow MA,Fundezy Coloured MA,Fundezy 3xMA Direction,Fundezy LONG Entry,Fundezy SHORT Entry,Fundezy ColouredMA Arrow,Buy Signal,EMA,VIX · TVC: close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1781168400,4105,4117.5,4098.1,4112.4,4114.999999999993,4404.066000000007,,4128.730729040499,4201.267207035795,4255.884957957095,4150.980555555544,,0,0,,0,4191.645075572291,20.61,41.83869414346447,33.74675926101095,,,,
1781172000,4111.8,4115.6,4107.2,4110.3,4113.959999999992,4401.695500000007,,4127.055208218635,4198.018378213088,4252.64973666916,4145.6842592592475,,0,0,,0,4188.455072608672,20.72,41.360200788342695,34.94324574604984,,,,
1781175600,4110.3,4116.4,4100.2,4100.7,4110.959999999993,4399.278000000007,,4124.659280198759,4194.542721848335,4249.27307585429,4140.609876543199,,0,0,,0,4185.013697212254,21.11,39.15560799368193,36.08694451228476,,,,
1781179200,4100.9,4107.8,4078,4102.5,4106.299999999992,4396.906500000006,,4122.64480018069,4191.255481782323,4246.011451946417,4135.77561728394,,0,0,,0,4181.777865949028,20.74,39.80350047208483,37.47034477115479,,,,
1781182800,4102.7,4114.3,4088,4104.3,4106.039999999992,4394.578500000007,,4120.977091073355,4188.149928861526,4242.86230856983,4131.237345679001,,0,0,,0,4178.739518264752,21.35,40.48597490995207,38.88535853490146,,,,
1781186400,4104,4106.6,4072.8,4094.4,4102.439999999992,4392.221000000006,,4118.560991884869,4184.801717116471,4239.5631461571675,4126.989814814803,,0,0,,0,4175.432086175939,21.24,37.9383198924587,39.37746483695173,,,,
1781190000,4094.2,4116.8,4090.9,4110,4102.379999999992,4389.917500000007,,4117.7827198953355,4182.130227219454,4236.683965131453,4123.111419753075,,0,0,,0,4172.866122012177,21.93,43.9261625876849,39.745625559694794,,,,
1781193600,4110.2,4129,4098.9,4101.2,4102.479999999992,4387.566500000006,,4116.2751999048505,4179.239861961617,4233.673210350754,4119.762962962952,,0,0,,0,4170.055685854836,21.58,41.494093580479344,40.32277140522241,,,,
1781197200,4101.5,4191.8,4092.9,4173.2,4116.619999999993,4385.651500000006,,4121.450181731682,4179.024152605845,4232.329361231848,4117.129938271593,,0,0,,1,4170.1789922919015,20.74,60.67757509808661,42.17174178426638,,,,
1781200800,4173.2,4193,4152,4183.1,4132.379999999992,4383.807000000006,,4127.054710665166,4179.169718584208,4231.235375426696,4115.166049382704,,0,0,,1,4170.685698476533,19.91,62.498386846534416,43.94394340049341,,,,
1781204400,4183.5,4241.3,4183.5,4229.9,4159.479999999992,4382.222500000006,,4136.404282422878,4180.981514349058,4231.205700417214,4113.85709876542,,0,0,,1,4173.007827948041,19.61,69.65232953545102,45.98675335810594,,,,
1781208000,4230.2,4240,4229.2,4233.8,4184.2399999999925,4380.668000000006,,4145.258438566253,4182.867888836591,4231.263351519054,4113.365740740729,,0,0,,0,4175.391834695177,19.43,70.16313106722349,48.06186702137974,,,,
1781215200,4234.9,4267.8,4226.2,4264.2,4216.839999999992,4379.248000000006,,4156.0713077875025,4185.772607092427,4231.995277040853,4113.70123456789,,0,0,,0,4178.874507844385,,73.85695850985623,50.18525331207822,,,,
1781218800,4264.5,4267.2,4234.6,4240.6,4230.319999999992,4377.792500000006,,4163.755734352275,4187.7307282676975,4232.186493106611,4114.729938271594,,0,0,,0,4181.2951153798995,,66.92964300246743,52.127184173412,,,,
1781222400,4240.1,4251.7,4221.4,4229,4239.499999999992,4376.274000000006,,4169.68703122934,4189.204630829566,4232.115682148687,4116.362037037025,,0,0,,0,4183.165895168923,,63.76387614394131,53.69326860201749,,,,
1781226000,4229.7,4232.4,4192.9,4208.2,4235.159999999992,4374.678000000006,,4173.188210208491,4189.883036871367,4231.5842225453825,4118.4478395061615,,0,0,,0,4184.147624770142,,58.427259962290215,54.91234425729946,,,,
1781229600,4208.2,4221.9,4204.2,4213.5,4231.099999999992,4373.117500000007,,4176.852918371355,4190.726499840247,4231.182350933263,4120.939506172828,,0,0,,0,4185.2986983085675,,59.36059132010283,56.355557352043796,,,,
1781233200,4212.7,4226.7,4211.4,4218.7,4221.999999999991,4371.540500000006,,4180.657198519414,4191.725553417381,4230.904965356968,4124.08086419752,,0,0,,0,4186.608553276859,,60.302274873516716,57.81975552357465,,,,
1781236800,4219,4222.6,4211.1,4211.9,4216.259999999992,4369.920000000006,,4183.497453199468,4192.446069366761,4230.48263279348,4127.636419753075,,0,0,,0,4187.6003747169825,,58.39665688856985,59.09908995061878,,,,
1781240400,4211.8,4214.4,4192.1,4194.7,4209.399999999991,4368.233500000006,,4184.515866544971,4192.526566889376,4229.6874631758465,4131.58086419752,,0,0,,0,4187.878791394748,,53.768242788242894,60.22979872888908,,,,
1781244000,4194.7,4207,4193.7,4205.4,4208.839999999991,4366.860000000006,,4186.414424131792,4192.986332357613,4229.147741771939,4135.983950617272,,0,0,,0,4188.565897614561,,56.09931401346239,61.09930954501605,,,,
1781247600,4205.5,4215.2,4191.1,4215.2,4209.179999999991,4365.493500000006,,4189.031294665265,4193.779677630555,4228.837791954785,4140.834876543198,,0,0,,1,4189.610372217912,,58.17917687679312,62.29110120903845,,,,
1781251200,4215.9,4247.7,4213.2,4241.2,4213.679999999991,4364.1790000000055,,4193.7739042411495,4195.473260572321,4229.112507689123,4146.1722222222115,,0,0,,1,4191.633494876033,18.88,63.16519370536709,62.46878825241563,,,,
1781254800,4241.4,4249.6,4239.1,4243.1,4219.919999999992,4362.841500000006,,4198.258094764681,4197.174215551881,4229.4233408515865,4152.004938271593,,0,0,,1,4193.6517891946205,18.74,63.50758967927913,62.54087416904026,,,,
1781258400,4242.9,4246.7,4223.6,4231.9,4227.3599999999915,4361.413500000006,,4201.3164497860735,4198.414422139314,4229.478377721552,4158.164814814804,,0,0,,0,4195.151719030126,18.82,59.96887716854055,61.84919899997523,,,,
1781262000,4232.3,4236.3,4218.1,4227.8,4231.839999999992,4359.968500000005,,4203.724045260067,4199.46390706291,4229.441080438851,4164.61635802468,,0,0,,0,4196.4320437740425,19.06,58.67985844345518,61.028965241134635,,,,
1781265600,4227.9,4236.3,4209.3,4212.3,4231.259999999992,4358.474500000006,,4204.503677509152,4199.92233895352,4229.0601675402095,4170.869135802458,,0,0,,0,4197.054316567217,19.02,53.95791287774142,59.607604838840714,,,,
1781269200,4212.1,4231.2,4203,4206.7,4224.359999999992,4356.934000000006,,4204.703343190138,4200.164398276608,4228.563274928205,4176.930555555544,,0,0,,0,4197.4325786626205,19.35,52.319817622420125,58.56404588312306,,,,
1781272800,4207.4,4229.5,4197.5,4224.9,4220.719999999992,4355.482000000005,,4206.539402900125,4201.047812623872,4228.48186881869,4182.644753086409,,0,0,,0,4198.509732440557,18.98,56.89949050438176,58.07373262315451,,,,
1781276400,4224.9,4256.8,4221,4232.4,4220.8199999999915,4354.072500000006,,4208.890366272842,4202.1675336015915,4228.568938400496,4187.908641975297,,0,0,,0,4199.838762540927,18.57,58.661568404345594,58.09046894044418,,,,
