time,open,high,low,close,Volume
1777944000,21.35,22.06,20.91,21.14,
1778030400,20.82,21.26,20.65,21.12,
1778116800,21.06,21.52,20.89,21.21,
1778203200,20.91,21.6,20.48,21.58,
1778462400,21.87,22.45,21.62,21.91,
1778548800,21.28,22.21,21.09,22.1,
1778635200,21.47,21.91,21.13,21.88,
1778721600,21.8,22.47,21.22,21.53,
1778808000,20.69,21.48,19.94,21.01,
1779067200,21.64,21.81,20.68,20.7,
1779153600,20.12,20.35,19.65,19.84,
1779240000,19.41,20,18.49,19.62,
1779326400,19.33,20.04,19.05,19.97,
1779412800,18.58,19.05,17.94,18.81,
1779758400,19.81,19.89,18.88,18.88,
1779844800,19.07,19.1,18.15,18.71,
1779931200,18.77,20.28,18.68,19.48,
1780017600,19.06,19.46,18.77,19.15,
1780276800,19.64,19.96,19.15,19.78,
1780363200,19.7,21.72,19.66,21.51,
1780449600,20.34,20.92,20.32,20.9,
1780536000,20.32,20.71,19.68,20.65,
1780622400,20.65,21.17,20.53,20.58,
1780881600,23.09,23.57,21.8,22.95,
1780968000,22.06,22.72,21.41,21.85,
1781054400,22.72,23.49,22.25,22.6,
1781140800,22.21,23.92,22.21,23.16,
1781227200,21.98,22.62,21.08,21.58,
1781486400,20.92,21.15,20.47,20.58,
1781572800,19.96,20.41,19.62,20.05,
1781659200,19.38,20.62,19.12,20.21,
1781745600,20.33,21.93,20.33,21.4,
1782091200,21.84,23.19,20.75,21.24,
1782177600,20.88,23.52,20.88,22.87,
1782264000,22.06,23.18,21.62,22.88,
1782350400,22.32,25.42,22.32,24.55,
1782436800,24.75,26.88,23.97,25.82,
1782696000,24.48,25.2,23.78,24.98,
1782782400,23.99,26.04,23.69,24.78,
1782955200,25.03,25.03,23.41,23.77,
1783041600,22.57,23.21,22.38,22.92,
1783300800,22.77,23.7,22.69,23.25,
1783387200,22.81,23.47,22.1,23.02,
1783473600,22.76,24.98,22.52,24.02,
1783560000,23.68,24.36,22.83,23.01,
1783646400,22.88,23.71,22.26,22.74,
1783905600,23.25,23.76,22.64,22.67,
1783992000,22.65,23.03,21.83,22.39,
1784078400,22.4,22.8,21.91,22.36,
1784164800,22.85,23.78,22.21,22.74,
1784251200,23.08,23.71,22.33,23.44,
